id,verb,auxiliary,participle,translation,level,createdAt,updatedAt,deletedAt
725,Vortragen,haben,vorgetragen,Exponer,B2.4,12/06/20,,
726,Äußern,haben,geäußert,Expresar / Manifestar / Declarar,B2.4,12/06/20,,
727,Konsumieren,haben,Konsumiert,Consumir,B2.4,12/06/20,,
728,Hinweisen auf,haben,hingewiesen,Indicar / Apuntar,B2.4,12/06/20,,
729,Verzehren,haben,verloren,Consumir / Gastar / Comer,B2.4,12/06/20,,
730,Verzichten auf,haben,verzichtet,Prescindir de,B2.4,12/06/20,,
731,Zufügen,haben,zugefügt,Infligir / Agregar,B2.4,12/06/20,,
732,Schlemmen,haben,geschlemmt,Comer abundantemente,B2.4,12/06/20,,
733,Würzen,haben,gewürzt,Condimentar,B2.4,12/06/20,,
734,Zubereiten,haben,zubereitet,Preparar / Sazonar,B2.4,12/06/20,,
735,Schälen,haben,geschält,Quitar la cáscara,B2.4,12/06/20,,
736,Anbauen,haben,angebaut,Crecer / Adosar / Añadir,B2.4,12/06/20,,
737,Erzeugen,haben,erzeugt,Producir / Generar,B2.4,12/06/20,,
738,Verschwenden,haben,verschwandt,Derrochar,B2.4,12/06/20,,
739,Auflisten,haben,aufgelistet,Hacer una lista,B2.4,12/06/20,,
740,Nachkommen,sein,nachgekommen,Alcanzar,B2.4,12/06/20,,
741,Leisten,haben,geleistet,Hacer / Producir,B2.4,12/06/20,,
742,Überschreiten,haben,überschritten,Exceder,B2.4,12/06/20,,
743,Vernichten,haben,vernichtet,Destruir,B2.4,12/06/20,,
744,Verwirren,sein,verwirrt,Desorientar,B2.4,12/06/20,,
745,Ansprechen,haben,angesprochen,Abordar,B2.4,12/06/20,,
746,Überlassen,haben,übergelassen,Abandonar,B2.4,12/06/20,,
747,Absolvieren,haben,absolviert,Absolver,B2.4,12/06/20,,
748,Anrechnen,haben,angerechnet,Cargar a la cuenta / Atribuir,B2.4,12/06/20,,
749,Festlegen,haben,festgelegt,Fijar / Concretar,B2.4,12/06/20,,
750,Verfassen,haben,verfasst,Redactar / Componer,B2.4,12/06/20,,
751,Einschreiben,haben,eingeschrieben,Inscribirse / Registrar / Certificar,B2.4,12/06/20,,
752,Erarbeiten,haben,erarbeitet,Elaborar,B2.4,12/06/20,,
753,Abrunden,haben,abgerundet,Redondear,B2.4,12/06/20,,
754,Abschaffen,haben,abgeschaffen,Abolir,B2.4,12/06/20,,
755,Ausleben,haben,ausgelebt,Disrutar de la vida,B2.4,12/06/20,,
756,Gehören,haben,gehört,Pertenecer,B2.4,12/06/20,,
757,Promovieren,haben,promoviert,Hacer un doctorado,B2.4,12/06/20,,
758,Verweilen,sein,verweilt,Quedarse / Detenerse,B2.4,12/06/20,,
759,Zustimmen,haben,zugestimmt,Adherir / Acceder,B2.4,12/06/20,,
760,Aneignen,haben,angeeignet,Apropiarse / Adueñarse,B2.4,12/06/20,,
761,Verfügen,haben,verfügt,Disponer / Decretar / Tener,B2.4,12/06/20,,
762,Weiterbringen,haben,weitergebracht,Llevar adelante / Hacer progresar,B2.4,12/06/20,,
763,Vertiefen,haben,vertieft,Profundizar,B2.4,12/06/20,,
764,Knüpfen,haben,geknüpft,Anudar / Concertar,B2.4,12/06/20,,
765,Vertreten,sein,vertreten,Representar,B2.4,12/06/20,,
766,Ablegen,haben,abgelegt,Desechar / Descartar,B2.4,12/06/20,,
767,Einschlagen,haben,eingeschlagen,Caer / Hacer un impacto / Romper,B2.4,12/06/20,,
768,Schieflaufen,sein,schiefgelaufen,Salir mal,B2.4,12/06/20,,
769,Ausschließen,haben,ausgeschlossen,Excluir,B2.4,12/06/20,,
770,Klingen,haben,geklungen,"Sonar / ""Tintinear""",B2.4,12/06/20,,
771,Vermitteln,haben,vermittelt,Impartir / Gestionar / Proporcionar,B2.4,12/06/20,,
772,Zufriedenstellen,haben,zufriedengestellt,Satisfacer,B2.4,12/06/20,,
773,Befinden,haben,befunden,Encontrarse,B2.4,12/06/20,,
774,Bewässern,haben,bewässert,Irrigar / Regar,B2.4,12/06/20,,
775,Experimentieren,haben,experimentiert,Experimentar,B2.4,12/06/20,,
776,Flitzen,sein,geflitzt,"Ir ""volando""",B2.4,12/06/20,,
777,Inspirieren,haben,inspiriert,Inspirar,B2.4,12/06/20,,
778,Pflücken,haben,gepflückt,Recoger / Recolectar,B2.4,12/06/20,,
779,Variieren,haben,variiert,Variar,B2.4,12/06/20,,
780,Zwinkern,haben,gezwinkert,Parpadear / Guiñar,B2.4,12/06/20,,
781,Liegen,haben,gelegen,Hallarse / Estar ubicado,B2.4,12/06/20,,
782,Sehen,haben,gesehen,Ver,B2.4,12/06/20,,
783,Bereuen,haben,bereut,Arrepentirse,B2.4,12/06/20,,
784,Verkleiden,haben,verklitten,Disfrazarse / Recubrir,B2.4,12/06/20,,
785,Wuchs,sein,gewachsen,Crecer,B2.4,12/06/20,,
786,Ausüben,haben,ausgeübt,Ejercer / Desempeñar / Practicar,B2.4,12/06/20,,
787,Engagieren,haben,engagiert,Contratar,B2.4,12/06/20,,
788,Anstecken,haben,angesteckt,Contagiar / Infectar,B2.4,12/06/20,,
789,Einreiben,haben,eingerieben,Frotar,B2.4,12/06/20,,
790,Übertreiben,haben,übertrieben,Exagerar / Engrandecer,B2.4,12/06/20,,
791,Vermeiden,haben,vermieden,Evitar,B2.4,12/06/20,,
792,Abhalten,haben,abgehalten,Desalentar / Rechazar,B2.4,12/06/20,,
793,Auskennen,haben,ausgekannt,Conocer,B2.4,12/06/20,,
794,Blockieren,haben,blockiert,Bloquear,B2.4,12/06/20,,
795,Heilen,sein,geheilt,Curar,B2.4,12/06/20,,
796,Interpretieren,haben,interpretiert,Interpretar,B2.4,12/06/20,,
797,Praktizieren,haben,praktiziert,Practicar / Ejercer,B2.4,12/06/20,,
798,Regulieren,haben,reguliert,Regular,B2.4,12/06/20,,
799,Reizen,haben,gereizt,Irritar,B2.4,12/06/20,,
800,Abweichen,sein,abgewichen,Diferir / Discrepar,B2.4,12/06/20,,
801,Bewähren,haben,bewährt,Demostrar,B2.4,12/06/20,,
802,Deklarieren,haben,deklariert,Declarar,B2.4,12/06/20,,
803,Diagnostizieren,haben,diagnostiziert,Diagnosticar,B2.4,12/06/20,,
804,Integrieren,haben,integriert,Integrar,B2.4,12/06/20,,
805,Tolerieren,haben,toleriert,Tolerar,B2.4,12/06/20,,
806,Verabreichen,haben,verabreicht,Administrar / Suministrar,B2.4,12/06/20,,
807,Abbrechen,haben,abgebrochen,Fallar / Quebrarse / Truncar,B2.4,12/06/20,,
808,Applaudieren,haben,applaudiert,Aplaudir,B2.4,12/06/20,,
809,Bezeichnen,haben,bezeichnet,Denominar / Caracterizar / Denotar,B2.4,12/06/20,,
810,Verschlucken,haben,verschluckt,Tragar / Deglutir,B2.4,12/06/20,,
811,Einnehmen,haben,eingenommen,Hacerse cargo / Embarcar / Forzar,B2.4,12/06/20,,
812,Entspringen,sein,entsprungen,Huir / Evadir,B2.4,12/06/20,,
813,Angreifen,haben,angegriffen,Agredir / Debilitar,B2.4,12/06/20,,
814,Entstehen,sein,entsanden,Surgir / Formarse / Proceder,B2.4,12/06/20,,
815,Gelangen,sein,gelangt,Lograr / Conseguir / Llegar,B2.4,12/06/20,,
816,Grillieren,haben,grilloren,Asar a la parrilla,B2.4,12/06/20,,
817,Parkieren,haben,parkiert,Estacionar,B2.4,12/06/20,,
818,Zügeln,haben,gezügelt,Contener,B2.4,12/06/20,,
819,Bemerken,haben,bemerkt,Notar / Percibir / Descubrir,B2.4,12/06/20,,
820,Aufgreifen,haben,aufgegriffen,Capturar / Retomar,B2.4,12/06/20,,
821,Aufwachsen,haben,aufgewachsen,Crecer,B2.4,12/06/20,,
822,Ausgrenzen,haben,ausgegrenzt,Marginar,B2.4,12/06/20,,
823,Beherrschen,haben,beherscht,Dominar / Reinar sobre / Poseer,B2.4,12/06/20,,
824,Eingehen,sein,Eingegangen,Ingresar / Arreglarse,B2.4,12/06/20,,
825,Bestehen,haben,bestanden,Consistir / Insistir / Soportar / Sufrir / Salir victorioso,B2.4,12/06/20,,
